dst,packet_total,volume_total
200.236.63.99,285255,18404202
200.236.63.98,275735,17846544
200.236.63.97,274255,17732546
200.236.63.96,276651,17902022
200.236.63.95,277501,17957421
200.236.63.94,277991,17977556
200.236.63.93,276396,17861775
200.236.63.9,282949,18259296
200.236.63.92,277084,17923965
200.236.63.91,273887,17683568
200.236.63.90,275872,17839743
200.236.63.89,273291,17661756
200.236.63.88,274109,17722316
200.236.63.87,273497,17693229
200.236.63.86,278439,18004887
200.236.63.85,277004,17885044
200.236.63.84,277101,17908619
200.236.63.83,277529,17926542
200.236.63.8,292516,18834954
200.236.63.82,276536,17899576
200.236.63.81,273958,17730838
200.236.63.80,281447,18175595
200.236.63.79,276154,17886522
200.236.63.78,273018,17657764
200.236.63.77,275779,17824186
200.236.63.76,273546,17689276
200.236.63.75,277140,17905197
200.236.63.74,277023,18035519
200.236.63.73,275014,17801609
200.236.63.7,273946,17700691
200.236.63.72,273552,17705174
200.236.63.71,273595,17721246
200.236.63.70,278332,17986574
200.236.63.69,275278,17799519
200.236.63.68,273945,17701632
200.236.63.67,275901,17826502
200.236.63.66,279865,18075573
200.236.63.65,272435,17669089
200.236.63.64,277231,17930513
200.236.63.63,277251,17943998
200.236.63.6,275019,17797242
200.236.63.62,274051,17746989
200.236.63.61,279823,18062285
200.236.63.60,283224,18249047
200.236.63.59,278059,17978766
200.236.63.58,282967,18273935
200.236.63.57,277544,17917350
200.236.63.56,275588,17811263
200.236.63.55,274245,17740083
200.236.63.54,275624,17810892
200.236.63.53,272461,17603134
200.236.63.5,275002,17784773
200.236.63.52,274990,17766560
200.236.63.51,275756,17848283
200.236.63.50,282463,18214718
200.236.63.49,275513,17800946
200.236.63.48,276889,17943071
200.236.63.47,277309,17933160
200.236.63.46,277514,17942434
200.236.63.45,275897,17827363
200.236.63.44,277593,17939471
200.236.63.43,281368,18165113
200.236.63.4,276644,17931473
200.236.63.42,276948,17908713
200.236.63.41,279027,18009021
200.236.63.40,274416,17722808
200.236.63.39,277213,17884725
200.236.63.38,277586,17956385
200.236.63.37,277573,17966189
200.236.63.36,278293,17984351
200.236.63.35,273465,17655311
200.236.63.34,276122,17828751
200.236.63.33,274005,17733533
200.236.63.3,277026,17918184
200.236.63.32,275835,17828638
200.236.63.31,273427,17675285
200.236.63.30,273765,17716445
200.236.63.29,273583,17714367
200.236.63.28,274344,17736416
200.236.63.27,274937,17775485
200.236.63.26,274058,17734522
200.236.63.255,272808,17621664
200.236.63.254,274988,17745895
200.236.63.253,275489,17816565
200.236.63.25,273266,17663020
200.236.63.252,281806,18194602
200.236.63.251,276467,17889422
200.236.63.250,280727,18161220
200.236.63.249,282266,18187702
200.236.63.248,274595,17792424
200.236.63.247,273903,17724985
200.236.63.246,273531,17684701
200.236.63.245,274869,17750349
200.236.63.244,273994,17730665
200.236.63.243,272363,17640791
200.236.63.24,275639,17904222
200.236.63.242,277401,17949574
200.236.63.241,272683,17620496
200.236.63.240,273654,17712285
200.236.63.239,274941,17766398
200.236.63.238,273597,17706299
200.236.63.237,275813,17836850
200.236.63.236,273614,17716489
200.236.63.235,279082,18092637
200.236.63.234,272907,17684783
200.236.63.233,273033,17686034
200.236.63.23,281012,18145178
200.236.63.232,280397,18183843
200.236.63.231,273957,17702203
200.236.63.230,276865,17883208
200.236.63.229,275849,17840443
200.236.63.228,276007,17833139
200.236.63.2,276082,17865576
200.236.63.227,275527,17837876
200.236.63.226,274637,17779498
200.236.63.225,273867,17695266
200.236.63.224,273269,17671949
200.236.63.223,278984,18030531
200.236.63.22,273757,17700366
200.236.63.222,278813,18019239
200.236.63.221,272919,17662745
200.236.63.220,272897,17660744
200.236.63.219,277597,17960504
200.236.63.218,277257,17934605
200.236.63.217,303042,19458209
200.236.63.216,277950,17981162
200.236.63.215,272696,17662015
200.236.63.214,275648,17833150
200.236.63.213,276718,17858475
200.236.63.21,275262,17825060
200.236.63.212,275892,17849246
200.236.63.211,273221,17697586
200.236.63.210,276752,17878173
200.236.63.209,284555,18339870
200.236.63.208,274385,17770287
200.236.63.207,279164,18037114
200.236.63.206,273896,17751917
200.236.63.205,278012,17950625
200.236.63.204,274612,17744292
200.236.63.203,273448,17678741
200.236.63.20,275759,17806342
200.236.63.202,274834,17762085
200.236.63.201,274330,17714666
200.236.63.200,274698,17783238
200.236.63.199,275047,17770757
200.236.63.198,273405,17687019
200.236.63.197,274983,17801141
200.236.63.196,272931,17679304
200.236.63.195,273713,17703585
200.236.63.194,292410,19076864
200.236.63.193,279128,18030718
200.236.63.19,275449,17787735
200.236.63.192,275185,17807184
200.236.63.191,276908,17898091
200.236.63.190,274611,17765142
200.236.63.189,282426,18348387
200.236.63.188,275829,17803344
200.236.63.187,277131,17903223
200.236.63.186,272919,17645984
200.236.63.185,275767,17833610
200.236.63.184,274857,17771719
200.236.63.183,275575,17840587
200.236.63.18,277294,17914340
200.236.63.182,328372,21727732
200.236.63.181,304541,19539436
200.236.63.180,273307,17690457
200.236.63.179,272809,17649190
200.236.63.178,273058,17689167
200.236.63.177,272711,17626790
200.236.63.176,273955,17758124
200.236.63.175,281493,18177687
200.236.63.174,272820,17657817
200.236.63.173,277118,17904370
200.236.63.17,279341,18083558
200.236.63.172,274591,17741412
200.236.63.171,275165,17855298
200.236.63.170,276269,17864816
200.236.63.169,274304,17740734
200.236.63.168,275400,17782451
200.236.63.167,273766,17720149
200.236.63.166,273303,17652974
200.236.63.165,274589,17779292
200.236.63.164,273719,17735697
200.236.63.163,275626,17805634
200.236.63.16,273952,17710680
200.236.63.162,273454,17690312
200.236.63.161,281828,18184997
200.236.63.160,279349,18073673
200.236.63.159,272034,17627267
200.236.63.158,276399,17864245
200.236.63.157,274178,17756449
200.236.63.156,274639,17750986
200.236.63.155,276680,17891830
200.236.63.154,276692,17881839
200.236.63.153,272341,17632749
200.236.63.15,278756,18008910
200.236.63.152,275032,17806727
200.236.63.151,274076,17742918
200.236.63.150,286107,18467622
200.236.63.149,276230,17853984
200.236.63.148,274926,17805771
200.236.63.147,305320,19623682
200.236.63.146,274005,17758405
200.236.63.145,276924,17910457
200.236.63.144,276455,17878042
200.236.63.143,273761,17721302
200.236.63.14,277928,17973206
200.236.63.142,273232,17653323
200.236.63.141,275720,17829505
200.236.63.140,277799,17966415
200.236.63.139,273622,17724051
200.236.63.138,278551,18001075
200.236.63.137,272830,17663811
200.236.63.136,276402,17898252
200.236.63.135,273976,17715494
200.236.63.134,275967,17819020
200.236.63.133,284464,18377287
200.236.63.13,273917,17752249
200.236.63.132,275266,17806237
200.236.63.131,277227,17908801
200.236.63.130,273297,17695715
200.236.63.129,273568,17728789
200.236.63.128,276876,17877532
200.236.63.1,278671,18043087
200.236.63.127,273748,17763101
200.236.63.126,274716,17807566
200.236.63.125,275686,17809460
200.236.63.124,274295,17739905
200.236.63.123,274634,17759032
200.236.63.12,272361,17582553
200.236.63.122,275206,17794989
200.236.63.121,274514,17751765
200.236.63.120,276039,17852027
200.236.63.119,276007,17878541
200.236.63.118,278499,18007540
200.236.63.117,273664,17721155
200.236.63.116,276412,17911302
200.236.63.115,276154,17892239
200.236.63.114,278736,17991068
200.236.63.113,277735,17956958
200.236.63.11,281143,18188280
200.236.63.112,274172,17740567
200.236.63.111,274318,17746771
200.236.63.110,278855,18015791
200.236.63.109,276192,17877611
200.236.63.108,277377,17903616
200.236.63.107,275871,17840080
200.236.63.106,280010,18117094
200.236.63.105,275252,17853065
200.236.63.104,279348,18058387
200.236.63.103,274284,17816704
200.236.63.10,273796,17695299
200.236.63.102,278852,18039321
200.236.63.101,277337,17951808
200.236.63.100,272612,17678617
200.236.63.0,269304,17442566
200.236.62.99,274990,17831561
200.236.62.98,276163,17890781
200.236.62.97,279753,18088590
200.236.62.96,275690,17862757
200.236.62.95,275729,17846450
200.236.62.94,276275,17848342
200.236.62.93,274689,17794880
200.236.62.9,289466,18668142
200.236.62.92,277030,17908104
200.236.62.91,279262,18042637
200.236.62.90,273961,17735835
200.236.62.89,279426,18047365
200.236.62.88,277674,17957102
200.236.62.87,304036,33845809
200.236.62.86,278111,17977414
200.236.62.85,273959,17733499
