frame_proto,packet_total,packets_half,volume_total,volume_half
eth:ethertype:ip:udp:xyplex,33,18,11975,8946
eth:ethertype:ip:udp:xdmcp,539725,269363,32383500,16161780
eth:ethertype:ip:udp:wtp:wsp,6,4,1394,1058
eth:ethertype:ip:udp:wtp,247,120,91991,42867
eth:ethertype:ip:udp:wtls,617,312,212628,97353
eth:ethertype:ip:udp:wsp:xml,1,0,101,0
eth:ethertype:ip:udp:wsp:wbxml,2,0,1006,0
eth:ethertype:ip:udp:wsp:media,11,0,1122,0
eth:ethertype:ip:udp:wsp,73550,14841,7205846,1134727
eth:ethertype:ip:udp:wlccp,5850,2933,745992,374664
eth:ethertype:ip:udp:wisun.eapol_relay:eapol:data,138,64,80770,36822
eth:ethertype:ip:udp:wisun.eapol_relay:eapol,27,10,2362,838
eth:ethertype:ip:udp:wisun.eapol_relay,328,150,19680,9000
eth:ethertype:ip:udp:wimaxasncp,27,24,3300,3120
eth:ethertype:ip:udp:who,26,12,16563,7221
eth:ethertype:ip:udp:wg,2166,1097,290916,147166
eth:ethertype:ip:udp:wccp,10,3,600,180
eth:ethertype:ip:udp:vxlan:eth:llc,1,1,68,68
eth:ethertype:ip:udp:vxlan:eth:ethertype:data,200,95,32631,15271
eth:ethertype:ip:udp:vxlan:eth,39,18,2348,1084
eth:ethertype:ip:udp:vxlan,161,91,9660,5460
eth:ethertype:ip:udp:vuze-dht,272,105,90696,37382
eth:ethertype:ip:udp:vrt,185,97,31904,12279
eth:ethertype:ip:udp:ulp,255,129,94135,41117
eth:ethertype:ip:udp:uftp:data,6,1,360,60
eth:ethertype:ip:udp:udpencap:isakmp,72061,36013,17737438,8864314
eth:ethertype:ip:udp:udpencap:esp,542707,271443,215497548,107599939
eth:ethertype:ip:udp:udpencap,9,7,540,420
eth:ethertype:ip:udp:uaudp:ua:data,1,0,554,0
eth:ethertype:ip:udp:uaudp,8673,4357,1337412,661531
eth:ethertype:ip:udp:tzsp:data,88,41,7265,3068
eth:ethertype:ip:udp:tzsp,570,264,98626,44407
eth:ethertype:ip:udp:tsp,29,20,10587,6346
eth:ethertype:ip:udp:ts2,332,157,94754,41417
eth:ethertype:ip:udp:tplink-smarthome:json:data-text-lines,356,166,113629,50179
eth:ethertype:ip:udp:tpcp,2,2,120,120
eth:ethertype:ip:udp:tipc:data,11,8,3094,1770
eth:ethertype:ip:udp:tipc,397,198,43151,20459
eth:ethertype:ip:udp:time,80382,39524,5160680,2542206
eth:ethertype:ip:udp:thrift,103,43,45919,16487
eth:ethertype:ip:udp:tftp,498737,249488,30681127,15347436
eth:ethertype:ip:udp:tetra,187,91,81865,38767
eth:ethertype:ip:udp:teredo:ipv6:icmpv6,2,0,244,0
eth:ethertype:ip:udp:teredo:ipv6:data,2,0,680,0
eth:ethertype:ip:udp:teredo:ipv6,48523,24639,4237600,2154496
eth:ethertype:ip:udp:teredo:data,110,61,23915,11957
eth:ethertype:ip:udp:teredo,137,59,8220,3540
eth:ethertype:ip:udp:tapa,14,6,924,388
eth:ethertype:ip:udp:tacacs,16147,8077,1297445,648057
eth:ethertype:ip:udp:syslog,19,9,12112,5036
eth:ethertype:ip:udp:stun,648963,324280,40259354,20120388
eth:ethertype:ip:udp:steam_ihs_discovery,106117,52743,7085015,3520826
eth:ethertype:ip:udp:ssdp:data,44616,22376,5278576,2648921
eth:ethertype:ip:udp:ssdp,2040448,1020820,267540941,133853362
eth:ethertype:ip:udp:srvloc,932749,472333,79610452,40376090
eth:ethertype:ip:udp:snmp,2656118,1329894,256761047,128573763
eth:ethertype:ip:udp:slimp3,172,88,12207,5883
eth:ethertype:ip:udp:sip:sigcomp,16,7,1045,427
eth:ethertype:ip:udp:sip:sdp,32764,16372,34714468,17346650
eth:ethertype:ip:udp:sip,3995399,1995201,1676954463,837465522
eth:ethertype:ip:udp:sigcomp,66,37,9224,6220
eth:ethertype:ip:udp:sflow,20,9,1200,540
eth:ethertype:ip:udp:sctp:data,1,1,1066,1066
eth:ethertype:ip:udp:sctp,203,90,90012,40000
eth:ethertype:ip:udp:scop:wpan:data,1,0,124,0
eth:ethertype:ip:udp:scop:wpan,33,17,2633,1353
eth:ethertype:ip:udp:scop:data,353,196,170416,83092
eth:ethertype:ip:udp:scop,61,26,3718,1560
eth:ethertype:ip:udp:sbus,9122,4390,547320,263400
eth:ethertype:ip:udp:sap:sdp,4,2,1740,1620
eth:ethertype:ip:udp:sap,216,99,84061,38988
eth:ethertype:ip:udp:sabp:sabp,21,14,1312,864
eth:ethertype:ip:udp:sabp,8389,4199,516904,258121
eth:ethertype:ip:udp:rx:afs,118,65,13307,7239
eth:ethertype:ip:udp:rx,54714,28228,4039808,2084195
eth:ethertype:ip:udp:rtps,57825,28771,15875310,7899450
eth:ethertype:ip:udp:rtpproxy,21,15,11184,7672
eth:ethertype:ip:udp:rtcp,7155,1703,4437464,1066426
eth:ethertype:ip:udp:rsvp,136,70,28803,16250
eth:ethertype:ip:udp:rsp:ipmi_session,1,0,85,0
eth:ethertype:ip:udp:rsp:data,1,1,554,554
eth:ethertype:ip:udp:rsp:asf:data,1,0,554,0
eth:ethertype:ip:udp:rsp,15,7,8889,3484
eth:ethertype:ip:udp:rsip,220,105,33298,19201
eth:ethertype:ip:udp:rpc:data,100871,50363,8835688,4411474
eth:ethertype:ip:udp:rpc,1764798,881085,145307745,72535111
eth:ethertype:ip:udp:rmcp:ipmi_session:data,505367,252428,33140920,16554436
eth:ethertype:ip:udp:rmcp:ipmi_session,5649,2813,384132,191284
eth:ethertype:ip:udp:rmcp:asf:data,1,1,1066,1066
eth:ethertype:ip:udp:rmcp:asf,11598,5859,695880,351540
eth:ethertype:ip:udp:ripng,127,10,16197,5071
eth:ethertype:ip:udp:rip,809903,406283,53430848,26805432
eth:ethertype:ip:udp:rdt,264,123,99406,45898
eth:ethertype:ip:udp:rdpudp:tls,8,3,5725,1778
eth:ethertype:ip:udp:rdpudp:dtls,7,5,2359,2067
eth:ethertype:ip:udp:rdpudp,667018,333237,70948489,35384997
eth:ethertype:ip:udp:raknet:raknet:raknet,1770,899,124283,63087
eth:ethertype:ip:udp:raknet:raknet,42995,21281,2902290,1438691
eth:ethertype:ip:udp:raknet,39016,19519,2679997,1338738
eth:ethertype:ip:udp:radius:eap,4172,2258,538188,291282
eth:ethertype:ip:udp:radius,415251,207760,26043235,13030928
eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls:tls:tls:tls,1,1,1292,1292
eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls:tls:tls:tls,1,1,1292,1292
eth:ethertype:ip:udp:quic:tls,11433,5569,14625770,7129586
eth:ethertype:ip:udp:quic,67508,33739,86341741,43151691
eth:ethertype:ip:udp:quakeworld:data,144,71,58331,25098
eth:ethertype:ip:udp:quakeworld,52,29,3162,1775
eth:ethertype:ip:udp:quake:data,172,65,58293,22660
eth:ethertype:ip:udp:quake3:data,16025,7957,1705469,818096
eth:ethertype:ip:udp:quake3,379924,189941,22796215,11397095
eth:ethertype:ip:udp:quake2:data,155,76,56355,21506
eth:ethertype:ip:udp:quake2,57,32,15471,9450
eth:ethertype:ip:udp:quake,132,62,7920,3720
eth:ethertype:ip:udp:ptp,3,2,2174,1620
eth:ethertype:ip:udp:portcontrol,878695,441773,52757362,26524399
eth:ethertype:ip:udp:pn_rt:pn_ptcp,177,95,33640,18211
eth:ethertype:ip:udp:pn_rt:pn_io,555,256,128644,56272
eth:ethertype:ip:udp:pn_rt,146,74,9462,4867
eth:ethertype:ip:udp:pktc.mtafqdn,251,130,38480,20772
eth:ethertype:ip:udp:pktc,145,74,29950,16687
eth:ethertype:ip:udp:pfcp,27373,13627,1718199,851349
eth:ethertype:ip:udp:pathport,25,5,16152,2989
eth:ethertype:ip:udp:papi,4,1,240,60
eth:ethertype:ip:udp:packetbb,14,6,6117,2408
eth:ethertype:ip:udp:openvpn,1257826,628760,77125779,38551752
eth:ethertype:ip:udp:opensafety_udp:data,213,94,92422,39276
eth:ethertype:ip:udp:opensafety:data,179,78,78936,33368
eth:ethertype:ip:udp:omron,310805,156726,18648300,9403560
eth:ethertype:ip:udp:oicq,44,23,4179,2332
eth:ethertype:ip:udp:nxp_802154_sniffer:wpan:data,61,26,8892,4282
eth:ethertype:ip:udp:nxp_802154_sniffer:wpan,147,61,56033,24631
eth:ethertype:ip:udp:nxp_802154_sniffer,362,164,39672,19971
eth:ethertype:ip:udp:ntp,5409900,2710037,783336306,391920758
eth:ethertype:ip:udp:ncp,27,9,13685,4517
eth:ethertype:ip:udp:nbns,1275545,636962,117362028,58606942
eth:ethertype:ip:udp:nbdgm,24,17,11121,8494
eth:ethertype:ip:udp:nano,196,92,92779,40235
eth:ethertype:ip:udp:msproxy,166,79,30700,15599
eth:ethertype:ip:udp:msmms,17,10,6107,3693
eth:ethertype:ip:udp:mpls:pwethheuristic:pwethnocw:eth:ethertype:data,1,0,106,0
eth:ethertype:ip:udp:mpls:pwethheuristic:pwethcw:eth:llc,14,7,1120,560
eth:ethertype:ip:udp:mpls:pwethheuristic:pwethcw:eth:ethertype:ip,1,0,83,0
eth:ethertype:ip:udp:mpls:pwethheuristic:pwethcw:eth:ethertype:data,9,2,3314,722
eth:ethertype:ip:udp:mpls:pwethheuristic:pwethcw:eth,7,4,420,240
eth:ethertype:ip:udp:mpls:ipv6:data,5,2,3230,1223
eth:ethertype:ip:udp:mpls:ipv6,3,1,198,66
eth:ethertype:ip:udp:mpls:ip,18,9,1263,644
eth:ethertype:ip:udp:mpls-echo,1,1,554,554
eth:ethertype:ip:udp:mpls:data,49,18,14030,6063
eth:ethertype:ip:udp:mpls,94,41,65470,27824
eth:ethertype:ip:udp:mp2t,14,5,3220,1150
eth:ethertype:ip:udp:mndp,19,11,2498,1419
eth:ethertype:ip:udp:mipv6,146,59,30093,12637
eth:ethertype:ip:udp:mip,24,10,13375,5565
eth:ethertype:ip:udp:mint:eth:ethertype:data,6,0,492,0
eth:ethertype:ip:udp:mint,582,272,154634,60466
eth:ethertype:ip:udp:mikey,278,141,42105,23886
eth:ethertype:ip:udp:mih,157,76,24795,11624
eth:ethertype:ip:udp:mgcp,50380,25976,5004457,2579689
eth:ethertype:ip:udp:memcache,3051196,1528218,262979303,131641405
eth:ethertype:ip:udp:megaco:data,187,92,36319,17828
eth:ethertype:ip:udp:megaco,14,5,1383,816
eth:ethertype:ip:udp:mdns,4147525,2073304,390578072,195809237
eth:ethertype:ip:udp:mbudp:modbus,7836,3926,470160,235560
eth:ethertype:ip:udp:manolito,820,364,124172,51105
eth:ethertype:ip:udp:lwres,30,18,11300,6066
eth:ethertype:ip:udp:lwapp:wlan:data,75,28,15363,6238
eth:ethertype:ip:udp:lwapp:wlan,188,84,125312,57054
eth:ethertype:ip:udp:lwapp:data,120,54,33193,17579
eth:ethertype:ip:udp:lwapp,61,37,3660,2220
eth:ethertype:ip:udp:ltp:data,11,4,672,252
eth:ethertype:ip:udp:ltp,48,30,7375,4730
eth:ethertype:ip:udp:lmp,19,14,10058,6264
eth:ethertype:ip:udp:llmnr,139,66,28092,15748
eth:ethertype:ip:udp:llc:sna:data,1,0,1066,0
eth:ethertype:ip:udp:llc:osi:data,18,0,2376,0
eth:ethertype:ip:udp:llc:ipx:data,36,36,3204,3204
eth:ethertype:ip:udp:llc:ip,2,2,120,120
eth:ethertype:ip:udp:llc:data,1882,949,504973,232480
eth:ethertype:ip:udp:llc,87,46,5220,2760
eth:ethertype:ip:udp:lisp:ipv6:data,1,0,152,0
eth:ethertype:ip:udp:lisp-data:ipv6:data,11,6,2598,1604
eth:ethertype:ip:udp:lisp-data:ipv6,9,4,576,252
eth:ethertype:ip:udp:lisp-data:ip,7,4,926,248
eth:ethertype:ip:udp:lisp:data,84,51,16706,9431
eth:ethertype:ip:udp:lisp-data,224,108,27939,12865
eth:ethertype:ip:udp:lisp,78,40,11515,6177
eth:ethertype:ip:udp:l2tp:ppp:data,16,7,3607,1918
eth:ethertype:ip:udp:l2tp:data,1,1,554,554
eth:ethertype:ip:udp:l2tp,441875,220742,57822938,28887097
eth:ethertype:ip:udp:kpasswd,23,15,14659,9690
